abs_risk_difference,concept,expert_index,layer_index,messages_0_activation_rate,messages_0_token_count,messages_1_activation_rate,messages_1_token_count,risk_difference,run_name,steering_coefficient,top_negative_experts,top_positive_experts
0.00819486994878052,mixtral_8x7b_instruct_v0_1_Bugs,0,0,0.17319631770498822,4671,0.18139118765376874,4471,-0.00819486994878052,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.0348940609722036,mixtral_8x7b_instruct_v0_1_Bugs,1,0,0.21494326696638835,4671,0.18004920599418475,4471,0.0348940609722036,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.01481020842661629,mixtral_8x7b_instruct_v0_1_Bugs,2,0,0.2960822093770071,4671,0.31089241780362337,4471,-0.01481020842661629,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.007593693193764572,mixtral_8x7b_instruct_v0_1_Bugs,3,0,0.18475701134660671,4671,0.1923507045403713,4471,-0.007593693193764572,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.006993761408532001,mixtral_8x7b_instruct_v0_1_Bugs,4,0,0.16634553628773283,4671,0.17333929769626483,4471,-0.006993761408532001,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.005975854960254073,mixtral_8x7b_instruct_v0_1_Bugs,5,0,0.13359023763648042,4671,0.1395660925967345,4471,-0.005975854960254073,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.023581834569277094,mixtral_8x7b_instruct_v0_1_Bugs,6,0,0.49282808820381074,4671,0.46924625363453365,4471,0.023581834569277094,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.014907507603533265,mixtral_8x7b_instruct_v0_1_Bugs,7,0,0.33825733247698564,4671,0.3531648400805189,4471,-0.014907507603533265,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.017643376585977755,mixtral_8x7b_instruct_v0_1_Bugs,0,1,0.3194176835795333,4671,0.3370610601655111,4471,-0.017643376585977755,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.01535282371835986,mixtral_8x7b_instruct_v0_1_Bugs,1,1,0.15178762577606508,4671,0.13643480205770522,4471,0.01535282371835986,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.07972025145899686,mixtral_8x7b_instruct_v0_1_Bugs,2,1,0.22714622136587453,4671,0.3068664728248714,4471,-0.07972025145899686,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.0012579940826586145,mixtral_8x7b_instruct_v0_1_Bugs,3,1,0.13187754228216655,4671,0.13061954819950794,4471,0.0012579940826586145,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.04403491642254484,mixtral_8x7b_instruct_v0_1_Bugs,4,1,0.20059944337400984,4671,0.156564526951465,4471,0.04403491642254484,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.07085266687610892,mixtral_8x7b_instruct_v0_1_Bugs,5,1,0.36608863198458574,4671,0.2952359651084768,4471,0.07085266687610892,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.015975500143865867,mixtral_8x7b_instruct_v0_1_Bugs,6,1,0.24213230571612074,4671,0.2581078058599866,4471,-0.015975500143865867,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.018159272910831803,mixtral_8x7b_instruct_v0_1_Bugs,7,1,0.36095054592164416,4671,0.37910981883247596,4471,-0.018159272910831803,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.012812702292626238,mixtral_8x7b_instruct_v0_1_Bugs,0,2,0.23142795975165917,4671,0.2442406620442854,4471,-0.012812702292626238,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.010539291701256448,mixtral_8x7b_instruct_v0_1_Bugs,1,2,0.27060586598158853,4671,0.281145157682845,4471,-0.010539291701256448,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.06313251348242421,mixtral_8x7b_instruct_v0_1_Bugs,2,2,0.19867266110040677,4671,0.13554014761798255,4471,0.06313251348242421,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.06557691588519676,mixtral_8x7b_instruct_v0_1_Bugs,3,2,0.2609719546135731,4671,0.32654887049876985,4471,-0.06557691588519676,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.058006972884222935,mixtral_8x7b_instruct_v0_1_Bugs,4,2,0.1967458788268037,4671,0.25475285171102663,4471,-0.058006972884222935,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.01758577279176954,mixtral_8x7b_instruct_v0_1_Bugs,5,2,0.21687004923999142,4671,0.1992842764482219,4471,0.01758577279176954,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.031076983616341314,mixtral_8x7b_instruct_v0_1_Bugs,6,2,0.32027403125669024,4671,0.2891970476403489,4471,0.031076983616341314,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.03514061287276732,mixtral_8x7b_instruct_v0_1_Bugs,7,2,0.3044315992292871,4671,0.26929098635651977,4471,0.03514061287276732,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.016112782004210777,mixtral_8x7b_instruct_v0_1_Bugs,0,3,0.13979875829586813,4671,0.12368597629165735,4471,0.016112782004210777,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.016204622467462126,mixtral_8x7b_instruct_v0_1_Bugs,1,3,0.5722543352601156,4671,0.5884589577275777,4471,-0.016204622467462126,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.03212606219265707,mixtral_8x7b_instruct_v0_1_Bugs,2,3,0.19182187968315137,4671,0.1596958174904943,4471,0.03212606219265707,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.029610648628778324,mixtral_8x7b_instruct_v0_1_Bugs,3,3,0.2119460500963391,4671,0.24155669872511742,4471,-0.029610648628778324,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.07973954849063933,mixtral_8x7b_instruct_v0_1_Bugs,4,3,0.23742239349175764,4671,0.15768284500111832,4471,0.07973954849063933,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.013167375030531697,mixtral_8x7b_instruct_v0_1_Bugs,5,3,0.15435666880753585,4671,0.16752404383806754,4471,-0.013167375030531697,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.047607979700863445,mixtral_8x7b_instruct_v0_1_Bugs,6,3,0.2207236137871976,4671,0.17311563408633415,4471,0.047607979700863445,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.11660372626159854,mixtral_8x7b_instruct_v0_1_Bugs,7,3,0.27167630057803466,4671,0.3882800268396332,4471,-0.11660372626159854,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.009782397956410838,mixtral_8x7b_instruct_v0_1_Bugs,0,4,0.3386855063155641,4671,0.34846790427197494,4471,-0.009782397956410838,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.07487640921601332,mixtral_8x7b_instruct_v0_1_Bugs,1,4,0.23613787197602226,4671,0.16126146276000894,4471,0.07487640921601332,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
0.04169015948589644,mixtral_8x7b_instruct_v0_1_Bugs,2,4,0.21301648469278528,4671,0.17132632520688884,4471,0.04169015948589644,mixtral_steermoe_fears_seed7_prefix_conditioned_paper_eps001_pos20_neg0,0.01,0,20
